product_id,title,description
135,Waterproof Backpack,"Water-resistant backpack designed for hiking with multiple pockets and padded straps."
136,Smartphone Lens Kit,"Clip-on lens kit for smartphones including wide-angle, macro, and fisheye lenses."
137,Mini Projector,"Portable mini projector supporting 1080p resolution and HDMI/USB connectivity."
138,Smartphone Holder,"Flexible smartphone holder for desks and car dashboards."
139,Electric Wine Opener,"Cordless electric wine bottle opener with rechargeable battery and foil cutter."
140,Smart Water Bottle,"Insulated smart water bottle tracking hydration with LED reminders."
141,Digital Photo Frame,"Wi-Fi enabled digital photo frame with cloud storage and slideshow features."
142,Wireless Charging Pad,"Qi-certified wireless charging pad compatible with multiple devices."
143,Smart Robot Vacuum,"Robot vacuum cleaner with app control, scheduling, and mapping features."
144,Bluetooth Tracker,"Small Bluetooth tracking device for keys, wallet, and personal items."
145,Noise Reduction Headphones,"Over-ear headphones with active noise cancellation and comfortable ear pads."
146,Smart Security Camera,"Indoor smart security camera with 1080p video and two-way audio."
147,Electric Pressure Cooker,"Multi-function electric pressure cooker with preset cooking modes."
148,Smart Sleep Mask,"Sleep mask with built-in speakers and Bluetooth connectivity."
149,Portable Air Conditioner,"Compact portable air conditioner with remote control and adjustable fan speeds."
150,Digital Kitchen Scale,"High-precision digital kitchen scale with tare function and LCD display."
151,Smartphone Case,"Shockproof smartphone case with raised edges and anti-slip grip."
152,Screen Protector,"Tempered glass screen protector for smartphones with anti-scratch coating."
153,Wireless Earphone Charging Case,"Replacement wireless charging case compatible with popular earbuds."
154,Car Phone Mount,"Adjustable car phone mount with 360-degree rotation and secure grip."
155,Fast Charging USB Cable,"Durable USB-C fast charging cable compatible with most smartphones."
156,Pop Socket Grip,"Pop socket grip and stand for smartphones with stylish designs."
157,Smartphone Cleaning Kit,"Screen cleaning kit with microfiber cloth, spray solution, and dust remover."
158,Selfie Stick,"Extendable selfie stick with Bluetooth remote shutter compatible with smartphones."
159,Smartphone Game Controller,"Game controller attachment for smartphones with ergonomic design."
160,Wireless VR Controller,"Wireless controller compatible with smartphone VR headsets."
161,Smartphone Cooling Fan,"Clip-on cooling fan for smartphones to prevent overheating during gaming."
162,Phone Wallet,"Adhesive phone wallet for cards and cash, compatible with most smartphones."
163,Magnetic Phone Holder,"Magnetic phone holder for cars and desks with strong grip."
164,Wireless Charging Stand,"Wireless charging stand compatible with Qi-enabled smartphones."
165,Smartphone Tripod,"Flexible tripod stand for smartphones with remote control."
166,Bluetooth Car Adapter,"Bluetooth adapter for car stereos to stream audio from smartphones."
167,Smartphone Stylus Pen,"Precision stylus pen for smartphones and tablets with smooth writing."
168,Smartphone Screen Magnifier,"Screen magnifier for smartphones enhancing video viewing experience."
169,Multi-Port USB Charger,"Multi-port USB wall charger compatible with various smartphones."
170,Phone Ring Holder,"360-degree rotating ring holder for smartphones with adhesive back."
